RepeatHMM	STRique	Tandem_Genotypes
10	39	22
18	NA	NA
28	34	25
36	43	27
40	12	27
41	34	27
42	32	29
43	3	29
48	37	29
48	30	31
49	34	31
50	37	31
51	37	32
51	28	33
51	28	33
51	32	28
52	31	29
52	34	29
52	37	29
53	32	30
53	44	31
53	21	31
55	21	32
55	32	32
55	29	33
57	37	33
57	32	34
58	38	34
58	29	36
59	40	37
59	NA	38
61	NA	NA
