RepeatHMM	STRique	Tandem_Genotypes
5	19	19
14	18	19
16	23	20
18	23	20
19	20	20
19	18	20
19	20	20
19	19	21
19	25	21
19	22	21
19	21	22
19	18	22
20	22	22
20	21	23
20	19	23
20	24	24
20	24	24
20	21	25
20	11	25
20	17	19
20	20	19
20	16	20
21	23	20
21	23	20
21	22	20
22	NA	20
22	17	20
23	20	21
43	21	21
46	20	21
47	43	21
48	0	21
48	NA	22
48	NA	23
49	NA	23
49	NA	23
50	NA	24
50	NA	25
51	NA	25
51	NA	NA
