Illumina	LongShot	Haplotype
20	170	hap1
170	176	hap1
174	179	hap1
176	181	hap1
179	192	hap1
181	201	hap1
192	193	hap1
192	214	hap1
201	227	hap1
204	232	hap1
193	232	hap1
214	237	hap1
227	260	hap1
232	NA	hap1
232	NA	hap1
237	NA	hap1
247	NA	hap1
260	NA	hap1
452	NA	hap1
19	19	hap2
19	20	hap2
20	20	hap2
22	22	hap2
22	26	hap2
26	20	hap2
20	20	hap2
20	20	hap2
20	21	hap2
21	21	hap2
21	21	hap2
21	21	hap2
21	22	hap2
22	22	hap2
23	23	hap2
23	24	hap2
24	NA	hap2
