Illumina	LongShot	Haplotype
9	9	hap1
64	109	hap1
109	145	hap1
145	158	hap1
161	161	hap1
163	163	hap1
182	190	hap1
190	194	hap1
194	212	hap1
212	213	hap1
213	220	hap1
220	225	hap1
225	226	hap1
226	227	hap1
227	227	hap1
243	243	hap1
33	33	hap2
39	39	hap2
40	41	hap2
41	42	hap2
42	42	hap2
42	42	hap2
42	42	hap2
42	43	hap2
42	44	hap2
43	45	hap2
44	47	hap2
45	63	hap2
47	64	hap2
63	66	hap2
66	66	hap2
66	NA	hap2
158	NA	hap2
