Illumina	LongShot	Haplotype
5	5	hap1
5	5	hap1
5	5	hap1
5	5	hap1
7	10	hap1
10	10	hap1
10	11	hap1
11	11	hap1
11	12	hap1
12	13	hap1
13	13	hap1
13	14	hap1
13	14	hap1
14	38	hap1
14	40	hap1
35	41	hap1
38	NA	hap1
40	NA	hap1
41	NA	hap1
14	14	hap2
18	18	hap2
19	19	hap2
20	20	hap2
20	20	hap2
21	21	hap2
21	21	hap2
21	21	hap2
21	21	hap2
22	22	hap2
22	24	hap2
24	47	hap2
47	48	hap2
48	49	hap2
49	49	hap2
49	50	hap2
50	50	hap2
50	NA	hap2
