ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
d3d31fd5-3a7d-4d60-a781-7eebf1b050b2	HTT	+	26	5.642940913405374	4.264523732576439	-3555.8065096644746	290392	0	111111111111111111111
47561a8f-d2b1-465d-99a7-fd3f694ee04a	HTT	+	27	6.197673693163298	5.644539152817919	-4621.8354519068735	215149	610	111111111111111111111
c36272c7-6270-44f2-8bc7-aba444096918	HTT	-	20	5.420838294298017	5.616256485112437	-5123.87126984579	268009	584	11111111111111111111
099b1190-c430-42de-96de-6043254d32ac	HTT	+	22	6.156693945079152	6.442497195765113	-4833.522751180267	191978	758	11111111111111111111
7addf8d1-ab4a-4963-9a2c-242cf7e98dcb	HTT	+	27	5.948266615442012	6.08707350127551	-4946.668410825669	181048	656	111111111111111111111111
e9f4a986-e054-45c2-9dc0-9dd61b6f738e	HTT	-	NA	4.32251067490107	3.7068526809279985	-365342.54392263584	329360	73847	111110101111111101111111111100101111111111111111111110111011110111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
b3d3c16e-ecc1-4a3f-87bc-44b6855e708b	HTT	-	NA	3.975449790232358	3.4390273953076473	-213677.17760741626	25293	43919	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
4c6c375f-9b64-4326-ad9f-edc0852ccf9e	HTT	+	25	6.637411005204807	6.590271950416383	-4455.5070715973	152712	526	111111111111111111111
95b96fbe-52c5-4d3c-8022-e8fc7c61717c	HTT	+	21	6.551647359913793	6.023036904091591	-4407.057751850486	137498	589	111111111111111111
97ee620a-d21a-4f7d-a5ee-5d643e7dedf6	HTT	-	21	5.843205824784017	5.784832221525788	-5568.0228900057955	324951	673	11111111111111111111
a6aa39be-3b05-4849-8c84-25f6551b956d	HTT	+	22	6.785018328522423	6.090799184945913	-3994.383872664672	89678	315	11111111111111111111
7afbe3d9-0661-4998-81cf-4e6d4b0c7d81	HTT	+	24	6.528470501537936	6.795126059410488	-4769.753893088538	92866	605	11111111111111111111
0c95bf67-c4cd-438e-90d0-60e26c331c9f	HTT	+	30	4.900911026740183	5.275851180500789	-5383.161148025496	93425	597	111111111111111111111111111
6d407ec7-7c2e-4595-a357-4f7dadc00ec5	HTT	-	19	6.3595948349318325	7.471710749612102	-5356.262927225473	109809	849	111111111111111111
6b8c6c86-d8c2-464a-ad97-722eb8c29aea	HTT	+	21	6.096141474992568	5.704526272506925	-5137.110631992352	86643	756	1111111111111111111
fa9edd5c-19ff-42e8-9828-5812d251fc7d	HTT	+	23	6.553999690872302	4.957390265479576	-2998.6569375999097	57277	0	111111111111111111111
496b0c7e-60ed-4902-a15e-87bc1dc74930	HTT	-	20	4.26291286355198	5.302937117866848	-6924.671045814163	422804	850	111111111111111111111
cff34630-9d0a-4c9d-a9c4-2876cbdc705c	HTT	-	21	5.534140267592842	6.125630373677248	-5097.264482806573	3813	569	11111111111111111111
