Illumina	LongShot	Haplotype
22	31	hap1
28	31	hap1
31	32	hap1
31	33	hap1
31	31	hap1
33	32	hap1
33	34	hap1
31	36	hap1
32	37	hap1
34	NA	hap1
35	NA	hap1
36	NA	hap1
25	25	hap2
27	27	hap2
27	27	hap2
28	28	hap2
28	29	hap2
29	29	hap2
29	28	hap2
28	30	hap2
30	32	hap2
31	34	hap2
31	34	hap2
32	38	hap2
34	38	hap2
35	NA	hap2
37	NA	hap2
38	NA	hap2
