Illumina	LongShot	Haplotype
19	18	hap1
19	19	hap1
20	19	hap1
20	19	hap1
20	20	hap1
20	20	hap1
21	20	hap1
22	22	hap1
23	40	hap1
40	48	hap1
43	49	hap1
47	49	hap1
48	50	hap1
49	NA	hap1
50	NA	hap1
51	NA	hap1
52	NA	hap1
14	14	hap2
18	19	hap2
19	49	hap2
19	51	hap2
21	53	hap2
21	54	hap2
22	NA	hap2
49	NA	hap2
49	NA	hap2
51	NA	hap2
51	NA	hap2
53	NA	hap2
54	NA	hap2
