ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
8748d9b0-7405-4766-a24a-cc62034507e5	HTT	-	21	4.980817289028906	7.335371009199134	-5702.9750472506785	273412	726	0000000000000000000
b78e05ff-6919-4a34-bbfc-6efe9ef24ac9	HTT	+	21	6.927890517315644	6.247046736022872	-4129.715786751215	289763	444	101111111111111111
89df4b9c-06d1-44ac-827d-a4326585a2e2	HTT	-	21	5.0335957936285505	6.403051176150998	-6008.813557916736	90853	733	00000000000000000000
5c63fa59-081d-4e63-8c2f-1bb2ae20c758	HTT	+	24	5.77219591168879	5.441045566523459	-5113.283100969887	105346	687	111111111111111111111
15efb7e0-8b49-4dfc-8a20-f38e5586ef54	HTT	+	20	7.533453563638088	6.671967204729497	-4015.5302567229874	88637	509	11111111111111111
f7f5b0f0-523f-4649-b5e1-18cfc1510a43	HTT	+	23	6.383837413477199	6.896390434314429	-4628.598403524434	81790	561	1111111111111111111
25c64028-439a-4d12-a3d8-332608700046	HTT	+	22	5.951934777462121	6.358681571720655	-4772.122171529928	91157	777	11111111111111111111
28996ce6-31dd-4618-aeb2-f24c7e9e5c26	HTT	-	23	5.1391672396337045	5.872651860955056	-6879.46480109584	24764	941	000000000000000000000000
907756b7-989d-4113-8230-831e70328ff9	HTT	+	21	4.55816759598658	5.268090244445968	-4502.490826888469	82994	460	1111111011111111111
be9b5e4e-2e3c-4e48-80d5-0a037958e5fc	HTT	+	23	6.582465419247066	6.642216621143959	-4266.505302449886	64961	535	11111111111111111111
07fe6e0f-072a-4502-90e8-5efc28ad33d2	HTT	-	20	5.754297883498279	6.231229447190224	-5441.719597809184	207727	623	00000000000000000000
aa52c2fa-3e63-452a-8ef1-a03d1d41bc2e	HTT	-	22	5.310062861503856	5.94155767337977	-5458.428379450396	298136	726	00000000000000000000
442ce763-8ec4-4b07-9065-4e3d7f1da7b9	HTT	+	NA	3.3400902433515567	3.2925689167183623	-1456352.359135699	211790	317982	111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111101111111111111111111110111111111111111111111101111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111101111111111111101111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110011111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111110111111111111011111111111101111111111111111111111111111111111111111111111111111111011111111111111111101111111111111111111111111111111111111111111111111111111111111111111101111111111111110111111111111101111111111111111111111111111111111111111111111101111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111110111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110011111111110111111111111111111111101111111111111111111111111110110101111111111111111111101111111111111111111111111111111111111011111111111111111111111101110111111111111111111111111111111111111111111011111111111111111111111111111111011111111111111111111110111111111111111111101111111111111111111111011111111111111111111111111111111101111111111101111110111111111101111111111101111111110110111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111101111111111111111111111111111101111111111111111111111111111111111111111111101111110111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111101111111111111111111111011111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111010011101011111111111111110111111111111111111111111111110111001111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111110111111111111111111111111111111111111101111111111111111111111111110111111111111101110111111111111111111111111111111111111111111011111111111111110111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111101111111111111111111111111011111111111111111011111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111101111111011111111111111111111111111011111111111111111111111111111111111011111111111011111110111111111111111111111111111111111111111011111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111011111111111111111011111111111111111111111111111111111110111111111111111111111111010111111111011111111111111111111111111111111111111111111111111111110111111110111111111111011111111101111111111111111111111111111111011111111111111100110111110011111111111111111111111011110111111111111111111111111111110111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111011011111111111111111111101011111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111011111101110111111111111111111111111111111111111111111111111111111111111101111111111110111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111011111111011111111111111111111111111111111111111111111111111101111111110111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111011101111111111111111111111111111111111111111101111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111101111111111111111111111111111111111110111111111101111111111111111111111111111111111111111111111111111111111111111011111111111111111100111111111111111111100001101111111101111111110111111111110110111011111111111111111111111111011001111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111110111111110111111111111111111111101111111111111111111111111011111111111111111111111111111111111111111111111111111111011111111111111110111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111101111101111111111111111111111111111111111111111111111111111110011111111111111111111101111111111111111111110111111111111101111111111111111111111111111111101111111101111111111110111111111111111111111
92ed52eb-8379-4f87-ac0e-dcdb7f363116	HTT	-	22	5.136325828380624	5.062539985236221	-5562.096906495073	112272	733	00000000000000000000
