ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
d2eed8ec-0ed4-4e5a-b7ab-1363d2e1769e	fmr1	-	128	6.605401400862069	6.504450073242188	-11781.958361237179	441941	3571	100100000001010010100100000000000010010010000010000010001110100001100010100111011100000001011100000111111001010101100101111110
80d8c86e-83f7-400f-bbc2-bc20e702651a	fmr1	+	147	6.081190627788518	4.841412442835366	-21537.751329566578	23070	5206	10000000010001000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000000000000000
f5004415-cda3-43c7-877d-9326ba2a954f	fmr1	-	127	6.215012323288691	6.742620004387365	-11964.301189996619	56895	3600	10110000101011101000101010110001011100010011011100010001110100100111110010011110111110101000100101011001110011001110010101001000
9a646a6b-c037-4118-82d8-c0fa374c104d	fmr1	-	NA	3.1856140647752094	5.931937205953926	-46275.75822595044	7317	9030	010011111011110011000110110100000010101101011001101111100101010101111111111111111010110010011101010001101010110110111100011111110101111101111111111011010111111011110111111111100111111110111111111110111111111101111101111111111101111101111101110111101101101011101111101110101110010
9bf83b6f-ef91-4d0a-a9ae-106ce13c2fa2	HTT	-	9	5.482249131469058	5.9313345382462686	-5043.080928127825	390361	582	111111111
69dc2329-1ab8-4c1d-94c4-437358e03f12	HTT	+	0	5.748640087750716	4.188259065283964	0	208391	0	-
61973f10-dd2d-4dcf-99b4-e5ecf70a1735	HTT	-	21	6.242390289660673	5.751963746223565	-5338.441619121389	331808	788	1111111111111111110
ea60d5cf-cceb-47f4-be93-8f009d4fc386	HTT	-	10	4.259669284414385	6.49199499486653	-5097.41005901171	10389	348	11111111
e3a8adb4-18e0-4af2-bc96-eb870727e74f	HTT	+	13	6.221484375	5.593989796485765	-3262.056951635672	24901	93	11111111011
95c6df99-0607-4e1f-b9fa-134256aeba20	HTT	+	NA	4.69004886774214	3.5493203154784596	0	13956	0	-
804106d0-29c0-44ed-83e7-c4e5ca677ad9	HTT	-	15	5.858092552400388	6.448264428053831	-5320.0321175112185	5848	770	1111111111011
5285851d-075f-4613-ac1c-99db93be0dd5	HTT	+	9	6.050225556786381	5.260582264428156	-4667.3769934635675	9355	405	1111111
1426ecef-0f2b-4281-97fa-cb2f7e43bf77	HTT	-	25	5.0724320327089165	4.909958623827739	-6102.25639801657	147540	1006	11111111111111111111111
8f5498c4-7f24-4ebc-9fee-185e7fe92416	HTT	+	24	6.110520035507139	6.08916026684598	-4684.122124590522	5380	942	0111111111111111110011
ed99e1b6-0b0f-45df-974e-a29ff6f57e21	fmr1	-	130	7.169040286284336	6.327125156048647	-11715.544517460234	138078	2982	100000011000000000100000010100000000010000000000100000000000001000000000100000000001000000000000000000000000000000000110111110100000
896853fb-bafc-4c21-a6dc-729b289ce072	fmr1	+	146	5.749450831378632	6.669023599473047	-17990.812200402237	322683	4450	11111011111110111111111111111111111111111111111111110111111111111111111110111111100111111111111111111111111111111110111111111101110111111
46aafa6f-a7a8-4a5d-b117-a59838e3f78f	fmr1	+	137	6.3557806651590765	5.429171798525244	-18465.893681361016	41899	4861	1110000000101000010100000000000010000000000000000000000000100000000100000001000000000001000100000100000000000000000000011000001100000000000
8a0dcdf9-c09a-47df-a1df-81cce9de185f	fmr1	+	137	5.546989825377939	5.545159865313527	-16966.97489761199	8411	4865	00000001001000011110000000000100000001011010000100000000000110111000000000000110100111111111100000000010000000111100100001010100000
5420d841-fb0b-4f52-a251-ebae994cc1e2	fmr1	-	0	6.5681823336693546	4.108997542134832	0	518397	0	-
