Illumina	LongShot	Haplotype
41	48	hap1
42	51	hap1
48	51	hap1
51	51	hap1
51	53	hap1
51	53	hap1
53	55	hap1
53	55	hap1
55	58	hap1
55	NA	hap1
58	NA	hap1
59	NA	hap1
10	10	hap2
18	18	hap2
28	28	hap2
36	36	hap2
40	48	hap2
43	50	hap2
48	51	hap2
50	52	hap2
51	52	hap2
52	55	hap2
52	58	hap2
53	59	hap2
55	61	hap2
57	NA	hap2
58	NA	hap2
59	NA	hap2
61	NA	hap2
