ID	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod
722c1d52-b25d-45d8-b10a-aa0920997e4c	HTT	+	NA	3.833022270912648	3.524188955327024	0	776745	0	-
36ecbed5-eab5-47f7-ac86-ce048101b666	HTT	+	NA	5.786721208970324	3.8069125741031615	0	633619	0	-
756f3a4b-42ae-4cf3-a569-b683eb6a46d5	HTT	+	22	5.549365374283668	7.080540058908549	-5029.151912825717	577527	806	111111111111111111
36aa2e13-7cd3-4c24-a779-e650c9be07fd	HTT	+	NA	3.142409931992657	3.7136481416458595	-93997.15164051882	301656	20214	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
61ef474d-c28b-405a-be90-f2703e65f188	HTT	-	24	5.214747021948474	6.345959793491865	-5140.528528905303	12851	810	1111111111111111111111
7abde1be-4437-443c-b372-1e332b030a9c	HTT	+	24	6.618685316765445	6.0919416612644905	-3985.939305316668	444219	402	11111111111111111111111
84888562-f77d-4df7-8805-5653e51bc3c2	HTT	+	NA	3.907592404645015	4.278041294642857	0	408368	0	-
9f72e1d4-a344-4c0f-8d77-17cff98bd917	HTT	-	19	5.44652801967224	4.7633877394786435	-4733.576270363042	352309	572	11111111111111111
9052fc2c-3dee-4c8c-a93b-d7c9790cddde	HTT	-	25	5.872266296946674	6.588849515122319	-5064.782754273543	86446	753	1111111111111111111111
4904a1cc-ce07-4a0c-a254-e6f84c5f1ce4	HTT	+	20	4.80693755948604	5.450433103036802	-4540.6860240954375	229055	378	11111111111111111
058aafc9-717b-41a1-af9a-302b365b99e4	HTT	+	26	6.284294805463576	6.686264377170139	-4488.314473837073	221119	338	1111111111111111111111111
9707353f-bc35-479d-8a29-a9eaae6ab77b	HTT	-	22	4.5564402704653535	5.8890188276397515	-5899.797592080756	278552	694	111111111111111111111111
eba3f3d4-9947-4ec5-b607-b3f6ac9575ee	HTT	-	19	5.580021794979785	6.563513209042738	-4377.6645163437615	223483	530	11111111111111111
c0b03ce4-5b19-4e69-8709-8c819df6811e	HTT	+	19	7.5281240837568415	6.534333129572201	-3785.3379356810474	130239	547	11111111111111111111
f2fbcd72-5564-4677-824f-808e5a045f4f	HTT	+	26	5.757071105320899	6.985682993627793	-5043.148958722868	138408	648	111111111111111111111111
bda815ad-f5df-4f06-9dd5-d9b661c78bc0	HTT	+	21	6.175368832483503	6.254213632743035	-4653.924994295527	126434	651	1111111111111111111
9f31b9e8-8904-44b2-8bac-b7880235d536	HTT	-	21	5.184319486753833	5.856516105380259	-5552.294239958475	212106	706	1111111111111111111111
0fa4c200-3ba6-47fd-b9af-a47b5fe8cd1d	HTT	-	20	5.9116132313645195	6.322446607171094	-5414.191449549421	392532	821	11111111111111111111
2bcb5820-5b74-4dbc-9487-c5a0f49a7fa7	HTT	-	NA	3.8783981568311496	2.9017749039746157	-3911.344241239454	49720	0	1
cf1fa602-4f84-43ce-a8c6-29b37b5cdb98	HTT	-	19	6.266583466839098	6.676044538909314	-4966.245244673466	87777	727	1111111111111111111
2855c2b9-fa88-4356-9ee0-6a55a09cfce5	HTT	+	NA	6.972203696646342	3.1693911417490623	0	82591	0	-
6b28109a-c083-4b90-a471-165509a36e54	HTT	-	19	6.113644393844221	6.23576363800578	-5110.530215639772	53860	587	1111111111111111111
76412707-9826-42bc-a013-256d6c6da5f6	HTT	+	18	6.2126088401711455	5.708554889084002	-4700.448359243835	52427	538	1111111111111111
2794a8c9-f9ed-45ac-a1ab-432abb217736	HTT	+	24	6.660165425755033	6.831941024116848	-4388.785097899599	56958	659	11111111111111111111111
4f851e32-a0eb-4a17-b881-dd6837c5faa4	HTT	-	19	5.279828721312533	6.142453106129227	-6492.042407293773	307684	771	11111111111111111111
b546c2f5-acee-4701-ab36-9226fab829ed	HTT	+	28	7.071794976128472	6.602088855164158	-4189.232716125136	36829	769	1111111111111111111111111
82dfe392-447f-412c-aca8-efbab8f9bba1	HTT	-	20	4.727812407653665	5.15476406085353	-6319.081424802847	108436	715	11111111111111111111
