RepeatHMM	STRique	Tandem_Genotypes
16	187	22
18	197	23
21	120	23
22	34	24
22	31	24
22	26	24
22	25	24
23	24	24
23	185	25
23	189	25
24	25	26
24	22	27
24	27	27
24	23	28
24	23	176
25	23	19
47	25	21
48	193	23
49	27	23
50	23	23
50	26	23
50	22	23
51	NA	24
52	NA	24
52	NA	25
126	NA	25
172	NA	26
175	NA	110
183	NA	177
202	NA	179
202	NA	179
NA	NA	184
