RepeatHMM	STRique	Tandem_Genotypes
5	13	11
5	12	13
5	22	13
10	10	14
10	11	14
11	13	15
11	24	15
12	29	16
13	21	16
13	27	21
14	12	21
18	22	22
19	12	24
20	25	24
20	11	24
21	11	4
21	23	12
21	21	12
21	21	13
22	12	14
24	20	15
35	12	20
40	25	21
41	11	22
47	9	22
48	16	22
49	NA	23
49	NA	23
NA	NA	26
NA	NA	26
