RepeatHMM	STRique	Tandem_Genotypes
3	22	22
13	24	22
16	24	22
18	19	23
18	25	23
18	20	23
19	26	23
19	22	23
19	19	23
20	19	24
21	26	24
21	21	24
22	21	24
22	20	24
23	19	24
23	19	25
23	18	25
23	24	19
23	19	21
24	28	21
47	20	22
48	19	22
48	19	23
48	24	23
49	20	23
50	19	24
50	23	24
51	18	24
51	NA	24
52	NA	24
53	NA	25
